Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Газоснабжение,Мусоропровод
1,0.035835147244579764,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018665044139444854,44,1,1,1,1,1,1,-0.3221885342411159,0.0826174154455693,-0.23742085518747957,0.4997645562183033,5,1,2,1,1,2,1946.0,6.0,3,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018665044139444854,45,1,1,1,1,1,1,0.005852096587022023,0.32553231354829737,0.0882063347344435,-0.05500701136175168,1,1,1,1,1,3,2021.0,2.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018665044139444854,46,1,1,1,1,1,0,-0.15816821882704693,0.17978337468666053,-1.0514888299922873,-0.05500701136175168,1,2,1,1,1,2,2012.0,4.0,3,3,2,1
1,0.035835147244579764,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018665044139444854,26,1,1,1,1,1,1,0.5799232005362633,1.1028599874770273,-0.4002344501484411,0.2223787724282758,5,1,2,1,1,2,1959.0,8.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018188202246105446,35,1,1,1,1,1,1,-0.5955557265978975,-0.6461272788626149,-0.23742085518747957,-0.05500701136175168,5,3,2,1,1,2,1878.0,2.0,2,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018665044139444854,39,1,1,1,1,1,1,-0.5408822881265412,-0.6461272788626149,-0.23742085518747957,-0.05500701136175168,1,1,1,1,4,15,2021.0,3.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018665044139444854,15,1,1,1,1,1,1,0.2245458504724473,0.7141961505126623,0.0882063347344435,0.3610716643232895,1,2,2,1,1,3,2022.0,4.0,1,3,2,1
1,0.10069048663981005,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018605438902777428,47,1,1,1,1,1,1,1.0446474275427922,1.4915238244413922,0.5766471196173281,0.7771503400083302,1,3,2,1,1,2,1911.0,1.0,1,1,2,1
1,0.10069048663981005,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018605438902777428,48,1,1,1,1,1,1,0.9626372698357576,-0.20888046227770438,0.5766471196173281,0.2223787724282758,1,2,1,6,1,16,2006.0,7.0,1,1,2,1
1,0.1331181563374252,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.018575636284443715,49,1,1,1,1,1,1,1.0446474275427922,1.2000259467181185,-0.23742085518747957,-0.05500701136175168,1,2,1,6,4,6,1998.0,1.0,2,1,2,1
1,0.10069048663981005,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018605438902777428,26,1,1,1,1,1,1,-0.3221885342411159,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,1,1,1,1,1,13,2010.0,4.0,3,1,2,3
1,0.10069048663981005,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018605438902777428,50,1,1,1,1,1,1,1.0446474275427922,1.7830217021646657,0.5766471196173281,0.2223787724282758,1,2,2,3,1,2,1956.0,4.0,1,1,2,1
1,0.1331181563374252,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018575636284443715,48,1,1,1,1,1,1,0.7712802351860105,0.32553231354829737,0.5766471196173281,0.3610716643232895,1,1,1,6,2,3,2011.0,1.0,1,1,2,1
1,0.1331181563374252,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018575636284443715,51,1,1,1,1,1,1,-0.4588721304195067,-0.5489613196215237,-0.23742085518747957,-0.05500701136175168,5,3,2,1,1,2,1875.0,1.0,3,1,2,1
1,0.1590602920955173,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018784254612779706,52,1,1,1,1,1,1,0.4432396043578726,0.9571110486153903,0.0882063347344435,0.4997645562183033,6,1,4,3,1,2,2010.0,4.0,1,1,2,1
1,0.10069048663981005,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018605438902777428,53,1,1,1,1,1,1,-0.44247009887809974,-0.8404591973447973,1.0650879045002126,0.2223787724282758,1,1,1,1,1,3,2020.0,10.0,2,2,2,3
1,0.10069048663981005,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018605438902777428,23,1,1,1,1,1,1,0.0878622542940565,0.2769493339277518,-0.23742085518747957,-0.05500701136175168,7,1,4,1,4,3,2010.0,4.0,3,1,2,1
1,0.16554582603504034,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.01854583366611,54,1,1,1,1,1,1,-0.08709274881428368,-0.20888046227770438,-0.7258616400703641,-0.05500701136175168,5,1,5,1,2,2,1966.0,2.0,3,1,2,1
1,0.19797349573265546,-0.00012609021630315037,1,2,0.19250353738347098,1,-0.01851603104777629,53,1,1,1,1,1,1,-0.3768619727124722,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,1,1,2,1,1,3,2020.0,10.0,3,2,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018903465086114558,55,1,1,1,1,1,1,-0.10349478035569061,0.03403443582502369,-0.23742085518747957,-0.1936999032567648,2,1,2,3,1,5,1999.0,2.0,1,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,2,0.6857736473619636,1,-0.018903465086114558,56,1,1,1,1,1,1,-0.5955557265978975,-0.16029748265715876,-1.2143024249532488,-0.05500701136175168,5,2,2,1,4,2,1888.0,1.0,1,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018903465086114558,57,1,1,1,1,1,1,-0.18550493806272508,-0.16029748265715876,0.0882063347344435,0.2223787724282758,1,1,2,3,1,17,2022.0,6.0,3,2,2,1
1,0.16554582603504034,-0.00012609021630315037,1,2,0.028080167390640128,1,-0.01854583366611,38,1,1,1,1,1,1,1.0719841467784703,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,5,1,3,2011.0,1.0,3,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018903465086114558,58,1,1,1,1,1,1,-1.0876166728401044,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,2,1,1,2,2010.0,4.0,3,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018903465086114558,59,1,1,1,1,1,1,-0.43153541118382854,-0.16029748265715876,-0.5630480451094027,-0.05500701136175168,3,1,2,1,1,1,1974.0,1.0,1,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018903465086114558,60,1,1,1,1,1,1,-0.5955557265978975,-0.40321238075988686,0.0882063347344435,0.6384574481133164,1,1,1,1,1,3,2021.0,4.0,1,1,2,1
1,0.16554582603504034,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.01854583366611,52,1,1,1,1,1,1,-0.5682190073622193,-0.6461272788626149,0.4138335246563666,-0.05500701136175168,7,1,1,1,4,2,2010.0,4.0,3,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.01914188603278426,61,1,1,1,1,1,1,-0.6775658843049319,-0.6461272788626149,-0.7258616400703641,0.2223787724282758,1,2,1,1,4,5,2022.0,6.0,3,1,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018903465086114558,23,1,1,1,1,0,1,-0.0488213418843343,0.32553231354829737,-0.23742085518747957,-0.27691563839377303,2,1,2,6,2,2,1966.0,3.0,1,1,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018873662467780845,18,1,1,1,1,1,1,-0.10349478035569061,-0.20888046227770438,0.0882063347344435,0.2223787724282758,1,1,1,1,1,1,2022.0,3.0,1,1,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018873662467780845,59,1,1,1,1,1,1,-0.15816821882704693,-0.20888046227770438,-0.23742085518747957,-0.27691563839377303,1,2,2,1,1,6,1976.0,10.0,1,1,2,1
1,-0.2041296085177723,-1.271524160755846,1,2,-1.2873067925520068,1,-0.01888558351511433,62,1,1,1,1,0,1,-0.13083149959136878,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,5,2,2,3,1,2,1966.0,3.0,2,1,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,2,2.0011606073046107,1,-0.018873662467780845,53,1,1,1,1,0,1,-0.7049026035406101,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,1,2,1,1,2,1,2018.0,4.0,1,3,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018873662467780845,6,1,1,1,1,1,1,-0.021484622648656138,0.6170301912715711,0.0882063347344435,-0.05500701136175168,5,1,2,1,4,1,2015.0,4.0,1,1,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018873662467780845,37,1,1,1,1,1,1,-0.5408822881265412,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,2,1,1,2,1968.0,1.0,1,1,2,1
1,-0.19115854063872623,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018873662467780845,48,1,1,1,1,1,1,0.0878622542940565,0.0826174154455693,0.0882063347344435,0.3610716643232895,1,1,2,1,1,3,2010.0,2.0,1,2,2,1
1,-0.22358621033634138,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018903465086114558,63,1,1,1,1,1,1,0.6345966390076196,1.0542770078564816,0.0882063347344435,0.2223787724282758,1,1,2,1,1,2,2007.0,1.0,1,1,2,1
1,-0.15873087094111107,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01911208341445055,64,1,1,1,1,1,1,0.6072599197719415,1.0542770078564816,0.0882063347344435,0.2223787724282758,5,1,2,6,1,3,2007.0,9.0,1,1,2,1
